Top 12 CAND_NAME.raw,Top 10 EMPLOYER.raw,Sum of TRANSACTION_AMT
"CLINTON, HILLARY RODHAM",SELF-EMPLOYED,"5,829,156"
"CLINTON, HILLARY RODHAM",N/A,"5,498,335"
"CLINTON, HILLARY RODHAM",RETIRED,"1,018,560"
"CLINTON, HILLARY RODHAM",SELF,"278,810"
"CLINTON, HILLARY RODHAM",NOT EMPLOYED,"278,517"
"CLINTON, HILLARY RODHAM",MORGAN & MORGAN,"247,625"
"CLINTON, HILLARY RODHAM",AKIN GUMP STRAUSS HAUER & FELD LLP,"102,475"
"CLINTON, HILLARY RODHAM",LATHAM & WATKINS LLP,"90,350"
"CLINTON, HILLARY RODHAM",SULLIVAN &  CROMWELL LLP,"84,000"
"CLINTON, HILLARY RODHAM",MORGAN STANLEY,"73,750"
"SANDERS, BERNARD",NOT EMPLOYED,"879,938"
"SANDERS, BERNARD",SELF-EMPLOYED,"377,741"
"SANDERS, BERNARD",N/A,"121,130"
"SANDERS, BERNARD",RETIRED,"74,970"
"SANDERS, BERNARD",SELF,"51,683"
"SANDERS, BERNARD",NONE,"28,110"
"SANDERS, BERNARD",GOOGLE,"12,300"
"SANDERS, BERNARD",MICROSOFT,"6,000"
"SANDERS, BERNARD",SELF EMPLOYED,"5,500"
"SANDERS, BERNARD",HARMONIX,"5,400"
"BUSH, JEB",RETIRED,"1,178,120"
"BUSH, JEB",SELF-EMPLOYED,"1,056,680"
"BUSH, JEB",HOMEMAKER,"1,012,670"
"BUSH, JEB",CANDIDATE,"388,715"
"BUSH, JEB",GOLDMAN SACHS,"144,900"
"BUSH, JEB",STUDENT,"82,600"
"BUSH, JEB",NEUBERGER BERMAN,"63,100"
"BUSH, JEB",JEB 2016 INC.,"30,710"
"BUSH, JEB",NONE,"30,000"
"BUSH, JEB",TENET HEALTHCARE,"23,600"
"CRUZ, RAFAEL EDWARD ""TED""",RETIRED,"1,003,835"
"CRUZ, RAFAEL EDWARD ""TED""",SELF EMPLOYED,"547,690"
"CRUZ, RAFAEL EDWARD ""TED""",HOMEMAKER,"515,360"
"CRUZ, RAFAEL EDWARD ""TED""",SELF,"489,492"
"CRUZ, RAFAEL EDWARD ""TED""",SELF-EMPLOYED,"455,988"
"CRUZ, RAFAEL EDWARD ""TED""",NONE,"83,005"
"CRUZ, RAFAEL EDWARD ""TED""",N/A,"77,703"
"CRUZ, RAFAEL EDWARD ""TED""",ASHFORD HOSPITALITY TRUST,"54,000"
"CRUZ, RAFAEL EDWARD ""TED""",REDMAN MANAGEMENT,"51,300"
"CRUZ, RAFAEL EDWARD ""TED""",WOODFOREST NATIONAL BANK,"42,850"
"RUBIO, MARCO",RETIRED,"1,145,962"
"RUBIO, MARCO",SELF-EMPLOYED,"655,630"
"RUBIO, MARCO",HOMEMAKER,"519,485"
"RUBIO, MARCO",SELF EMPLOYED,"210,014"
"RUBIO, MARCO",GOLDMAN SACHS,"47,080"
"RUBIO, MARCO",MCNA DENTAL,"36,900"
"RUBIO, MARCO",FLORIDA CRYSTALS CORPORATION,"25,880"
"RUBIO, MARCO",STUDENT,"25,542"
"RUBIO, MARCO",NONE,"24,550"
"RUBIO, MARCO",MAIN LINE HONDA,"20,800"
"PAUL, RAND",SELF,"286,669"
"PAUL, RAND",NONE,"232,443"
"PAUL, RAND",RETIRED,"186,110"
"PAUL, RAND",SELF-EMPLOYED,"85,006"
"PAUL, RAND",SELF EMPLOYED,"74,052"
"PAUL, RAND",HOMEMAKER,"26,601"
"PAUL, RAND",N/A,"17,852"
"PAUL, RAND",GALILEO GLOBAL ADVISORS,"17,800"
"PAUL, RAND",GRUBBS NISSAN,"15,800"
"PAUL, RAND",PHOTRONICS INC,"15,800"
"TRUMP, DONALD J",RETIRED,"13,075"
"TRUMP, DONALD J",SELF-EMPLOYED,"8,150"
"TRUMP, DONALD J",THE TRUMP ORGANIZATION,"4,049"
"TRUMP, DONALD J",AON RISK SERVICES,"2,700"
"TRUMP, DONALD J",MCGEORGE ROLLING HILLS RV,"2,700"
"TRUMP, DONALD J","MERIDIAN CAPITAL GROUP, LLC","2,700"
"TRUMP, DONALD J",POSEIDON BARGE,"2,700"
"TRUMP, DONALD J",WALNUT BOTTOM RADIOLOGY,"2,700"
"TRUMP, DONALD J","WM. E. MARTIN & SONS CO., INC.","2,700"
"TRUMP, DONALD J",HOMEMAKER,"2,300"
